mm_dd_hh,ghi,dhi,dni,temp
01-16 15:00,61.0,36.0,227.6,2.3
01-16 16:00,4.0,3.0,26.0,0.9
01-16 17:00,0.0,0.0,0.0,-0.1
01-16 18:00,0.0,0.0,0.0,-1.5
01-16 19:00,0.0,0.0,0.0,-1.8
01-16 20:00,0.0,0.0,0.0,-2.3
01-16 21:00,0.0,0.0,0.0,-2.2
01-16 22:00,0.0,0.0,0.0,-2.5
01-16 23:00,0.0,0.0,0.0,-2.6
01-17 00:00,0.0,0.0,0.0,-2.6
01-17 01:00,0.0,0.0,0.0,-1.6
01-17 02:00,0.0,0.0,0.0,-1.8
01-17 03:00,0.0,0.0,0.0,-1.6
01-17 04:00,0.0,0.0,0.0,-1.5
01-17 05:00,0.0,0.0,0.0,-1.5
01-17 06:00,0.0,0.0,0.0,-1.5
01-17 07:00,0.0,0.0,0.0,-1.6
01-17 08:00,24.0,17.0,98.9,-1.3
01-17 09:00,99.0,61.0,228.8,-0.4
01-17 10:00,165.0,95.0,278.5,0.9
01-17 11:00,216.0,106.0,365.7,2.3
01-17 12:00,276.0,77.0,639.6,3.5
01-17 13:00,254.0,58.0,696.0,3.6
01-17 14:00,182.0,47.0,630.2,3.0
01-17 15:00,80.0,29.0,449.1,1.4
01-17 16:00,6.0,4.0,49.5,0.2
01-17 17:00,0.0,0.0,0.0,-0.3
01-17 18:00,0.0,0.0,0.0,-0.9
01-17 19:00,0.0,0.0,0.0,-1.4
01-17 20:00,0.0,0.0,0.0,-1.8
01-17 21:00,0.0,0.0,0.0,-2.1
01-17 22:00,0.0,0.0,0.0,-2.5
01-17 23:00,0.0,0.0,0.0,-2.7
01-18 00:00,0.0,0.0,0.0,-2.8
01-18 01:00,0.0,0.0,0.0,-1.6
01-18 02:00,0.0,0.0,0.0,-1.5
01-18 03:00,0.0,0.0,0.0,-1.5
01-18 04:00,0.0,0.0,0.0,-2.1
01-18 05:00,0.0,0.0,0.0,-2.1
01-18 06:00,0.0,0.0,0.0,-2.1
01-18 07:00,0.0,0.0,0.0,-2.0
01-18 08:00,23.0,15.0,110.9,-1.4
01-18 09:00,97.0,54.0,254.8,-0.9
01-18 10:00,176.0,84.0,361.8,0.3
01-18 11:00,242.0,93.0,490.0,1.7
01-18 12:00,265.0,81.0,584.8,2.9
01-18 13:00,253.0,59.0,680.1,4.2
01-18 14:00,183.0,46.0,628.6,3.9
01-18 15:00,83.0,30.0,451.7,2.0
01-18 16:00,6.0,3.0,70.7,0.0
01-18 17:00,0.0,0.0,0.0,-0.2
01-18 18:00,0.0,0.0,0.0,-1.0
01-18 19:00,0.0,0.0,0.0,-1.4
01-18 20:00,0.0,0.0,0.0,-1.6
01-18 21:00,0.0,0.0,0.0,-1.5
01-18 22:00,0.0,0.0,0.0,-1.6
01-18 23:00,0.0,0.0,0.0,-1.4
01-19 00:00,0.0,0.0,0.0,-1.1
01-19 01:00,0.0,0.0,0.0,-0.5
01-19 02:00,0.0,0.0,0.0,-0.6
01-19 03:00,0.0,0.0,0.0,-0.3
01-19 04:00,0.0,0.0,0.0,-0.2
01-19 05:00,0.0,0.0,0.0,-0.2
01-19 06:00,0.0,0.0,0.0,-0.2
01-19 07:00,0.0,0.0,0.0,-0.1
01-19 08:00,35.0,14.0,285.6,0.8
01-19 09:00,136.0,40.0,559.8,3.0
